2026-04-08 13:40:47 | INFO     | main | Artist details scrape complete: 0 profiles saved
2026-04-08 13:49:45 | INFO     | main | === Starting Artist Details scrape ===
2026-04-08 13:49:51 | INFO     | src.utils.http_client | Fetched [200] https://kworb.net/itunes/
2026-04-08 13:49:51 | INFO     | src.scrapers.itunes_scraper | Scraped 300 artist rankings from iTunes page
2026-04-08 13:50:11 | INFO     | src.utils.http_client | Fetched [200] https://kworb.net/itunes/artist/bts.html
2026-04-08 13:50:12 | INFO     | src.scrapers.artist_details_scraper | Scraped artist details for BTS (23 songs, 5 albums, 39 countries)
2026-04-08 13:50:29 | INFO     | src.utils.http_client | Fetched [200] https://kworb.net/itunes/artist/badbunny.html
2026-04-08 13:50:30 | INFO     | src.scrapers.artist_details_scraper | Scraped artist details for Bad Bunny (23 songs, 3 albums, 32 countries)
2026-04-08 13:50:41 | INFO     | src.utils.http_client | Fetched [200] https://kworb.net/itunes/artist/taylorswift.html
2026-04-08 13:50:41 | INFO     | src.scrapers.artist_details_scraper | Scraped artist details for Taylor Swift (12 songs, 5 albums, 35 countries)
2026-04-08 13:50:41 | INFO     | src.scrapers.artist_details_scraper | Scraped 3 artist detail pages
2026-04-08 13:50:41 | INFO     | src.database.repository | Saved 3 artist detail snapshots to DB
2026-04-08 13:50:41 | INFO     | main | Artist details scrape complete: 3 profiles saved
2026-04-08 15:03:41 | INFO     | main | === Starting iTunes Global Rankings scrape ===
2026-04-08 15:03:44 | INFO     | src.utils.http_client | Fetched [200] https://kworb.net/itunes/
2026-04-08 15:03:44 | INFO     | src.scrapers.itunes_scraper | Scraped 300 artist rankings from iTunes page
2026-04-08 15:03:44 | INFO     | src.database.repository | Saved 300 iTunes rankings to DB
2026-04-08 15:03:44 | INFO     | main | iTunes scrape complete: 300 rows saved
2026-04-08 15:03:44 | INFO     | main | === Starting Spotify Artists scrape ===
2026-04-08 15:03:49 | INFO     | src.utils.http_client | Fetched [200] https://kworb.net/spotify/artists.html
2026-04-08 15:03:50 | INFO     | src.scrapers.spotify_scraper | Scraped 3000 Spotify artists
2026-04-08 15:03:51 | INFO     | src.database.repository | Saved 3000 Spotify artists to DB
2026-04-08 15:03:51 | INFO     | main | Spotify scrape complete: 3000 rows saved
2026-04-08 15:03:51 | INFO     | main | === Starting Trending Artists (last month) scrape ===
2026-04-08 15:03:51 | INFO     | src.scrapers.trending_scraper | Scraping trending artists for month: 2026-03
2026-04-08 15:03:54 | INFO     | src.utils.http_client | Fetched [200] https://kworb.net/itunes/
2026-04-08 15:03:55 | INFO     | src.scrapers.itunes_scraper | Scraped 300 artist rankings from iTunes page
2026-04-08 15:03:55 | INFO     | src.scrapers.trending_scraper | Built 300 trending artist records for 2026-03
2026-04-08 15:03:55 | INFO     | src.database.repository | Saved 300 trending artist records to DB
2026-04-08 15:03:55 | INFO     | main | Trending scrape complete: 300 rows saved
2026-04-08 15:03:55 | INFO     | main | === Starting Artist Details scrape ===
2026-04-08 15:03:58 | INFO     | src.utils.http_client | Fetched [200] https://kworb.net/itunes/
2026-04-08 15:03:58 | INFO     | src.scrapers.itunes_scraper | Scraped 300 artist rankings from iTunes page
2026-04-08 15:04:02 | INFO     | src.utils.http_client | Fetched [200] https://kworb.net/itunes/artist/bts.html
2026-04-08 15:04:02 | INFO     | src.scrapers.artist_details_scraper | Scraped artist details for BTS (23 songs, 5 albums, 39 countries)
2026-04-08 15:04:06 | INFO     | src.utils.http_client | Fetched [200] https://kworb.net/itunes/artist/badbunny.html
2026-04-08 15:04:06 | INFO     | src.scrapers.artist_details_scraper | Scraped artist details for Bad Bunny (23 songs, 3 albums, 32 countries)
2026-04-08 15:04:06 | INFO     | src.scrapers.artist_details_scraper | Scraped 2 artist detail pages
2026-04-08 15:04:06 | INFO     | src.database.repository | Saved 2 artist detail snapshots to DB
2026-04-08 15:04:06 | INFO     | main | Artist details scrape complete: 2 profiles saved
2026-04-08 15:23:00 | INFO     | src.database.migrate | Applied migration: 001_create_tables.sql
